id;code;name;jhi_desc;image;image_content_type;start_date;end_date
1;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;../fake-data/blob/hipster.png;image/png;2019-08-25T21:36:23;2019-08-26T03:07:34
2;mission-critical Faroe Islands Plastic;Car Industrial deliverables;orange Books;../fake-data/blob/hipster.png;image/png;2019-08-25T16:07:02;2019-08-26T06:54:58
3;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;../fake-data/blob/hipster.png;image/png;2019-08-26T02:47:19;2019-08-26T04:13:29
4;moratorium pixel withdrawal;Mississippi embrace Developer;synthesize Idaho compress;../fake-data/blob/hipster.png;image/png;2019-08-25T23:50:14;2019-08-26T10:43:04
5;system Small;Intelligent Outdoors;Harbor Montana;../fake-data/blob/hipster.png;image/png;2019-08-25T18:59:45;2019-08-25T13:54:24
6;Phased;Saint Lucia white;Generic neutral Salad;../fake-data/blob/hipster.png;image/png;2019-08-25T13:22:32;2019-08-25T20:42:14
7;modular Refined Squares;maroon;EXE projection Fresh;../fake-data/blob/hipster.png;image/png;2019-08-26T03:08:14;2019-08-26T04:03:22
8;Gorgeous Profit-focused synergies;cutting-edge ability Hat;supply-chains magenta;../fake-data/blob/hipster.png;image/png;2019-08-26T08:48:41;2019-08-26T05:13:20
9;User-centric Gloves;Mauritania;facilitate Tasty Concrete Chips Exclusive;../fake-data/blob/hipster.png;image/png;2019-08-25T18:58:37;2019-08-25T23:45:16
10;capability zero tolerance Computers;Analyst paradigms;encompassing;../fake-data/blob/hipster.png;image/png;2019-08-25T13:53:24;2019-08-25T20:27:50
