id;name;jhi_desc;image;image_content_type;latitude;longitude;start_date;end_date
1;Canadian Dollar;Berkshire Designer;../fake-data/blob/hipster.png;image/png;24205;59269;2019-08-25T18:53:33;2019-08-26T09:05:00
2;24/7 Re-contextualized cross-platform;invoice withdrawal;../fake-data/blob/hipster.png;image/png;53577;81643;2019-08-26T08:51:24;2019-08-25T15:51:49
3;Gloves Bedfordshire Argentine Peso;Kentucky Algerian Dinar Clothing;../fake-data/blob/hipster.png;image/png;51209;80950;2019-08-26T05:35:16;2019-08-26T02:39:21
4;Rustic Quality;synthesize Creative;../fake-data/blob/hipster.png;image/png;13752;67569;2019-08-26T02:50:17;2019-08-25T17:22:43
5;azure;SMS Enhanced;../fake-data/blob/hipster.png;image/png;65998;17495;2019-08-25T15:24:38;2019-08-25T11:27:07
6;Borders content-based;Tasty Customer Human;../fake-data/blob/hipster.png;image/png;63310;18870;2019-08-26T02:53:13;2019-08-26T04:19:51
7;Saint Helena Pound programming;AI optical invoice;../fake-data/blob/hipster.png;image/png;8413;93563;2019-08-26T07:08:41;2019-08-25T16:10:33
8;New Zealand Dollar Alabama transform;invoice Home Gloves;../fake-data/blob/hipster.png;image/png;54873;48561;2019-08-25T18:25:06;2019-08-26T00:15:42
9;Manager Fish;Networked;../fake-data/blob/hipster.png;image/png;32539;17882;2019-08-25T17:06:29;2019-08-26T02:13:43
10;program alarm;Nevada;../fake-data/blob/hipster.png;image/png;9367;50881;2019-08-26T02:11:55;2019-08-25T19:45:07
